,start_timestamp,frame,actual_timestamp,area,probability
3276,1573649710,956,1573649773,42840,0.9221500754356384
3293,1573649710,1112,1573649784,145270,0.9904453754425049
3309,1573648193,312,1573648213,197340,0.9805099368095398
9601,1573648288,10,1573648288,114821,0.9778985381126404
3318,1573245171,1172,1573245249,91728,0.9074712991714478
3324,1573245171,1440,1573245267,180648,0.7848615050315857
3326,1573245171,1712,1573245285,157728,0.9591238498687744
3338,1573833486,282,1573833504,194040,0.9953339099884033
3348,1573833486,726,1573833534,181104,0.9861416816711426
3355,1573835047,70,1573835051,282586,0.810320258140564
3368,1573835047,736,1573835096,65813,0.9144882559776306
3379,1573835328,48,1573835331,122450,0.9889477491378784
3391,1573835328,466,1573835359,192832,0.9906723499298096
3398,1574190186,234,1574190201,232650,0.9990724325180054
3410,1574190186,706,1574190233,127840,0.9791595339775085
3424,1574190186,956,1574190249,56394,0.8356931805610657
3430,1574190186,1480,1574190284,132632,0.8476225733757019
3436,1574191065,66,1574191069,100448,0.8448692560195923
3472,1574194396,130,1574194404,171045,0.8968418836593628
3480,1574194396,632,1574194438,72657,0.8068285584449768
3499,1574198409,1226,1574198490,97464,0.9260265231132507
3506,1574198409,1632,1574198517,301096,0.864249587059021
3523,1574189345,356,1574189368,263728,0.9984763860702515
3533,1574189345,808,1574189398,157033,0.9943795800209045
3544,1574189345,970,1574189409,385018,0.9760702252388
3552,1574189345,992,1574189411,338032,0.9336676597595215
3567,1574188297,52,1574188300,158998,0.9427204132080078
3590,1574188743,122,1574188751,122673,0.8391422033309937
3603,1574188743,388,1574188768,71600,0.7337405681610107
3620,1574184003,64,1574184007,93024,0.8304672241210938
3638,1574184003,1492,1574184102,262870,0.9984719157218933
3652,1574184003,1688,1574184115,119091,0.9637122750282288
3663,1574185255,712,1574185302,108075,0.9061940312385559
3669,1574185255,922,1574185316,128368,0.9593086838722229
3677,1574185255,1294,1574185341,104265,0.9591498970985413
3681,1573129492,270,1573129510,179820,0.9434096217155457
3694,1573240472,890,1573240531,120934,0.8291069269180298
3703,1574174499,70,1574174503,296730,0.9992107152938843
3717,1574180336,64,1574180340,95810,0.8295415043830872
3737,1574180336,232,1574180351,262472,0.9961608648300171
3751,1574181086,534,1574181121,223512,0.996320903301239
3762,1574181086,1226,1574181167,249849,0.9989036917686462
3780,1574168655,568,1574168692,292740,0.8422053456306458
3782,1574168655,572,1574168693,277242,0.860393762588501
3786,1574168655,700,1574168701,60690,0.8828962445259094
3802,1574165178,552,1574165214,125120,0.9543328285217285
3819,1573132878,72,1573132882,176120,0.906424880027771
3844,1573238034,652,1573238077,123201,0.9821547269821167
3864,1573238034,906,1573238094,259440,0.9993880391120911
3887,1573238034,1296,1573238120,177010,0.8731553554534912
3907,1573589680,32,1573589682,153988,0.9934881329536438
3916,1573589680,230,1573589695,139472,0.9634253978729248
3920,1573589680,1006,1573589747,249075,0.7783448696136475
3929,1573135032,30,1573135034,112024,0.9689626693725586
3934,1573135032,386,1573135057,103944,0.7683388590812683
3941,1573586935,66,1573586939,160324,0.9851824045181274
3948,1573135382,634,1573135424,40885,0.7961410880088806
3952,1573135382,836,1573135437,216838,0.9822103977203369
3958,1573135382,1104,1573135455,158920,0.9388132095336914
3989,1573239106,786,1573239158,158826,0.8897074460983276
3997,1573239106,950,1573239169,142349,0.9756615161895752
4012,1573239106,1618,1573239213,227106,0.9947492480278015
4024,1573135614,488,1573135646,159310,0.9957678914070129
4032,1573135614,770,1573135665,103057,0.8347004055976868
4038,1573135614,1072,1573135685,158048,0.9195403456687927
4049,1573135614,1322,1573135702,167104,0.9987343549728394
4057,1573135614,1498,1573135713,142396,0.9989234805107117
4073,1573135928,586,1573135967,111507,0.9481422305107117
4078,1573135928,1080,1573136000,116688,0.7922968864440918
4086,1573233671,252,1573233687,104918,0.8553494215011597
4092,1573233671,866,1573233728,164268,0.9807894825935364
4094,1573233671,870,1573233729,138308,0.9174548387527466
4107,1573233671,1564,1573233775,318000,0.8309747576713562
4112,1573583623,578,1573583661,35098,0.7440760731697083
4122,1573583175,16,1573583176,153972,0.9612950086593628
4133,1573136865,236,1573136880,54963,0.7860319018363953
4136,1573136865,242,1573136881,190785,0.9987751245498657
4155,1573136865,680,1573136910,331712,0.9930319786071777
4178,1573136865,896,1573136924,118594,0.9914720058441162
4183,1573136865,1056,1573136935,140301,0.9604085683822632
4201,1573136865,1336,1573136954,107200,0.8013059496879578
4215,1573232236,160,1573232246,121976,0.9857754111289978
4221,1573232236,940,1573232298,76260,0.9496209025382996
4230,1573229798,632,1573229840,114432,0.9512112140655518
4236,1574106061,626,1574106102,102600,0.8570870757102966
4243,1574106061,1302,1574106147,119808,0.9678183794021606
4266,1574107276,80,1574107281,224046,0.9840003848075867
30424,1574107719,1756,1574107836,87308,0.9416325688362122
4287,1574110235,420,1574110263,323440,0.8832029104232788
4296,1573229306,144,1573229315,86840,0.8237990140914917
4297,1573229306,648,1573229349,160593,0.9453376531600952
4302,1573138871,52,1573138874,120280,0.944246768951416
4307,1573577628,302,1573577648,144417,0.9890692830085754
4319,1573577628,1074,1573577699,136320,0.9909758567810059
4337,1573574590,118,1573574597,172081,0.8698508143424988
83115,1573574595,28,1573574596,172081,0.8698508143424988
4342,1573575371,628,1573575412,161734,0.8551897406578064
4344,1573575371,1226,1573575452,102024,0.9081752896308899
4352,1573571962,56,1573571965,272938,0.9990193843841553
4361,1573571962,278,1573571980,199281,0.9981763958930969
4366,1573572870,0,1573572870,309456,0.9700498580932617
4374,1573572870,582,1573572908,170884,0.9965661764144897
4379,1573572870,1000,1573572936,131273,0.8992140293121338
4386,1573234739,20,1573234740,112800,0.9071851968765259
4398,1573234739,196,1573234752,371028,0.900885283946991
4409,1573566733,86,1573566738,315595,0.7287498116493225
4413,1573566733,450,1573566763,389918,0.9026921391487122
4437,1573566733,988,1573566798,301455,0.967755913734436
4464,1573566733,1582,1573566838,298977,0.9972550272941589
4482,1573568842,118,1573568849,167865,0.9726213216781616
4520,1573568842,282,1573568860,185328,0.997668981552124
4521,1573568842,284,1573568860,191900,0.9976656436920166
4552,1573568842,400,1573568868,140595,0.9980455040931702
4563,1573568842,556,1573568879,167090,0.9409886598587036
4569,1573568842,600,1573568882,135850,0.993321418762207
4584,1573568842,730,1573568890,118482,0.9814260005950928
4594,1573568842,874,1573568900,273743,0.9941682815551758
4602,1573568842,1140,1573568918,126768,0.9921484589576721
4611,1573568842,1344,1573568931,130032,0.9945839047431946
4621,1573569102,92,1573569108,82302,0.8321935534477234
4627,1574100147,84,1574100152,146174,0.9757278561592102
4636,1574100147,1074,1574100218,287809,0.9977926015853882
4656,1574100147,1458,1574100244,281400,0.9988464117050171
4669,1574100147,1760,1574100264,156870,0.9808987379074097
4678,1573413140,10,1573413140,187150,0.7215591669082642
4685,1573226293,86,1573226298,184240,0.995773434638977
4710,1573226293,688,1573226338,159334,0.9597675204277039
4717,1573226293,988,1573226358,285572,0.9986253380775452
4725,1573226293,1112,1573226367,120870,0.9818573594093323
4737,1574098687,276,1574098705,270000,0.9945078492164612
4747,1574098687,888,1574098746,169920,0.9632519483566284
4777,1574098687,1448,1574098783,275806,0.9955558776855469
4785,1574098687,1742,1574098803,135562,0.9677324891090393
4798,1574100517,80,1574100522,128079,0.9922179579734802
4808,1573225531,846,1573225587,178476,0.9870963096618652
4820,1574092969,38,1574092971,138180,0.9495172500610352
4824,1574092969,546,1574093005,142250,0.9971649050712585
4831,1574092969,1342,1574093058,171292,0.9922000765800476
4843,1574093578,644,1574093620,124657,0.9339161515235901
4851,1574093578,1232,1574093660,189552,0.9957982897758484
4863,1574093578,1586,1574093683,276642,0.9232420921325684
4877,1574096676,996,1574096742,137843,0.961677610874176
4895,1573223875,384,1573223900,209836,0.9974091053009033
4913,1573223875,488,1573223907,165168,0.9946224093437195
4932,1573223875,844,1573223931,174636,0.8939297795295715
4946,1573562806,520,1573562840,76818,0.8530537486076355
4962,1573233791,522,1573233825,138270,0.9533010721206665
4976,1573233791,1778,1573233909,287330,0.9994311332702637
4990,1574090759,864,1574090816,83790,0.9631850719451904
4995,1574091384,424,1574091412,284047,0.9558457136154175
5003,1574095928,352,1574095951,157443,0.9805035591125488
5006,1574095928,474,1574095959,100820,0.777082085609436
5015,1574079166,506,1574079199,345142,0.90748131275177
5023,1574087034,410,1574087061,193125,0.996001660823822
5033,1574088369,56,1574088372,177600,0.9639506936073303
5037,1574088369,1214,1574088449,36176,0.7446470260620117
5039,1574088369,1716,1574088483,210217,0.9979586601257324
5057,1573145173,270,1573145191,197600,0.9984616637229919
5078,1573220823,292,1573220842,285934,0.9866876006126404
5083,1573220823,370,1573220847,180336,0.9932183623313904
5100,1573147571,398,1573147597,101592,0.952305018901825
5103,1573147571,616,1573147612,153768,0.8999647498130798
5112,1573147571,1012,1573147638,116160,0.9515222907066345
5132,1573147571,1270,1573147655,319200,0.997534453868866
5157,1573147571,1370,1573147662,176375,0.9946987628936768
5173,1574025296,126,1574025304,104130,0.9853947758674622
5179,1573219465,394,1573219491,352352,0.9996077418327332
5192,1573219465,826,1573219520,199975,0.9953657984733582
5207,1573219465,960,1573219529,233310,0.9988399744033813
5221,1573219465,1252,1573219548,158592,0.9849093556404114
5227,1573219465,1360,1573219555,210447,0.9882798790931702
5239,1573149576,720,1573149624,70584,0.8229894042015076
5247,1573218915,56,1573218918,97625,0.9888527393341064
5250,1574018386,50,1574018389,117608,0.7845922708511353
5262,1574022481,696,1574022527,166320,0.8345869779586792
5266,1574023626,82,1574023631,264132,0.9427741765975952
5270,1573391982,58,1573391985,57824,0.8200169801712036
5284,1573150878,856,1573150935,144414,0.8021724820137024
5302,1573216161,358,1573216184,130082,0.9169172644615173
5307,1573216161,656,1573216204,293851,0.9995799660682678
5313,1573216161,1502,1573216261,184730,0.8433152437210083
5322,1573151263,84,1573151268,133690,0.9915870428085327
5347,1573151263,1190,1573151342,46426,0.72786945104599
5355,1573151263,1220,1573151344,146231,0.9032332897186279
5370,1573151263,1474,1573151361,135744,0.9673561453819275
5382,1573151263,1626,1573151371,286708,0.9980930089950562
5387,1573151263,1636,1573151372,267351,0.9965006113052368
5405,1573152521,582,1573152559,127440,0.9721361398696899
5419,1573152521,1058,1573152591,301308,0.9980981945991516
5437,1574005607,202,1574005620,143072,0.9711002707481384
5439,1574005607,354,1574005630,279594,0.7924537658691406
5451,1574005607,674,1574005651,194320,0.9928829073905945
5459,1573995621,248,1573995637,90720,0.9430314898490906
5529,1573993199,58,1573993202,220032,0.8702173233032227
5535,1573326327,1572,1573326431,62769,0.7764908671379089
5540,1573324474,216,1573324488,95149,0.9156390428543091
5550,1573935345,52,1573935348,165984,0.7350521087646484
5561,1573938378,118,1573938385,78064,0.8273490071296692
5575,1574010654,54,1574010657,96499,0.8773218393325806
5582,1574010654,314,1574010674,160430,0.8700194358825684
5618,1573159420,58,1573159423,307340,0.99906986951828
5643,1573159420,732,1573159468,114550,0.9721950888633728
5652,1573159420,1212,1573159500,293335,0.9988133311271667
5672,1573327273,1676,1573327384,176043,0.9902965426445007
5678,1573928199,82,1573928204,195300,0.8310688138008118
5691,1573928199,1422,1573928293,87750,0.9846170544624329
5701,1573928953,88,1573928958,94239,0.8664910793304443
5710,1573928953,432,1573928981,97888,0.9415113925933838
5735,1573922960,452,1573922990,181288,0.8418031334877014
5805,1573160875,1252,1573160958,110768,0.9463797807693481
5829,1573160875,1720,1573160989,126752,0.8382028341293335
5841,1573503859,416,1573503886,327660,0.9894441962242126
5850,1573503859,532,1573503894,94424,0.8512007594108582
